Invoice_ID;Branch;City;Customer_type;Gender;Product_line;Unit_price;Quantity;Tax;Total;Purchase_Date;Purchase_Time;Payment;cogs;gross_margin_percentage;gross_income;Rating
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41.65;10;20.83;437.33;1/13/2019;17:04:00;Credit card;416.5;4.761.904.762;20.83;5.4
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;49.04;9;22.07;463.43;01/09/2019;14:20:00;Credit card;441.36;4.761.904.762;22.07;8.6
381-20-0914;A;Yangon;Member;Female;Fashion accessories;20.01;9;90.05;1.890.945;01/12/2019;15:48:00;Credit card;180.09;4.761.904.762;90.05;5.7
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;78.31;10;39.16;822.26;03/05/2019;16:24:00;Ewallet;783.1;4.761.904.762;39.16;6.6
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;20.38;5;5.1;107;1/22/2019;18:56:00;Cash;101.9;4.761.904.762;5.1;6
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;99.19;6;29.76;624.9;1/21/2019;14:42:00;Credit card;595.14;4.761.904.762;29.76;5.5
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;96.68;3;14.5;304.54;1/26/2019;19:56:00;Ewallet;290.04;4.761.904.762;14.5;6.4
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;19.25;8;7.7;161.7;1/23/2019;18:37:00;Ewallet;154;4.761.904.762;7.7;6.6
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;80.36;4;16.07;337.51;2/23/2019;18:45:00;Credit card;321.44;4.761.904.762;16.07;8.3
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;48.91;5;122.28;2.567.775;03/09/2019;10:17:00;Cash;244.55;4.761.904.762;122.28;6.6
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;83.06;7;29.07;610.49;03/05/2019;14:31:00;Ewallet;581.42;4.761.904.762;29.07;4
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;76.52;5;19.13;401.73;3/25/2019;10:23:00;Cash;382.6;4.761.904.762;19.13;9.9
633-44-8566;A;Yangon;Member;Male;Food and beverages;49.38;7;17.28;362.94;3/27/2019;20:35:00;Credit card;345.66;4.761.904.762;17.28;7.3
504-35-8843;A;Yangon;Normal;Male;Sports and travel;42.47;1;21.24;445.94;01/02/2019;16:57:00;Cash;42.47;4.761.904.762;21.24;5.7
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;76.99;6;23.1;485.04;2/27/2019;17:55:00;Cash;461.94;4.761.904.762;23.1;6.1
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;47.38;4;9.48;199;1/23/2019;10:25:00;Cash;189.52;4.761.904.762;9.48;7.1
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;44.86;10;22.43;471.03;1/26/2019;19:54:00;Ewallet;448.6;4.761.904.762;22.43;8.2
873-51-0671;A;Yangon;Member;Female;Sports and travel;21.98;7;7.69;161.55;01/10/2019;16:42:00;Ewallet;153.86;4.761.904.762;7.69;5.1
152-08-9985;B;Mandalay;Member;Male;Health and beauty;64.36;9;28.96;608.2;03/12/2019;12:09:00;Credit card;579.24;4.761.904.762;28.96;8.6
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;89.75;1;44.88;942.38;02/06/2019;20:05:00;Credit card;89.75;4.761.904.762;44.88;6.6
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;97.16;1;4.86;102.02;03/08/2019;20:38:00;Ewallet;97.16;4.761.904.762;4.86;7.2
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87.87;10;43.94;922.64;3/29/2019;10:25:00;Ewallet;878.7;4.761.904.762;43.94;5.1
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;12.45;6;3.74;78.44;02/09/2019;13:11:00;Cash;74.7;4.761.904.762;3.74;4.1
865-92-6136;A;Yangon;Normal;Male;Food and beverages;52.75;3;79.13;1.661.625;3/23/2019;10:16:00;Ewallet;158.25;4.761.904.762;79.13;9.3
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;82.7;6;24.81;521.01;03/05/2019;18:14:00;Cash;496.2;4.761.904.762;24.81;7.4
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;48.71;1;24.36;511.46;3/26/2019;19:20:00;Cash;48.71;4.761.904.762;24.36;4.1
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78.55;9;353.48;7.422.975;03/01/2019;13:22:00;Cash;706.95;4.761.904.762;353.48;7.2
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;23.07;9;103.82;2.180.115;02/01/2019;11:27:00;Cash;207.63;4.761.904.762;103.82;4.9
212-62-1842;A;Yangon;Normal;Male;Food and beverages;58.26;6;17.48;367.04;3/28/2019;16:44:00;Cash;349.56;4.761.904.762;17.48;9.9
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;30.35;7;106.23;2.230.725;3/19/2019;18:19:00;Cash;212.45;4.761.904.762;106.23;8
704-48-3927;A;Yangon;Member;Male;Electronic accessories;88.67;10;44.34;931.04;01/12/2019;14:50:00;Ewallet;886.7;4.761.904.762;44.34;7.3
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;27.38;6;8.21;172.49;01/05/2019;20:54:00;Credit card;164.28;4.761.904.762;8.21;7.9
630-74-5166;A;Yangon;Normal;Male;Sports and travel;62.13;6;18.64;391.42;3/22/2019;20:19:00;Cash;372.78;4.761.904.762;18.64;7.4
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;33.98;9;15.29;321.11;3/24/2019;10:43:00;Cash;305.82;4.761.904.762;15.29;4.2
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;81.97;10;40.99;860.69;03/03/2019;14:30:00;Cash;819.7;4.761.904.762;40.99;9.2
479-26-8945;B;Mandalay;Member;Female;Sports and travel;16.49;2;1.65;34.63;02/05/2019;11:32:00;Ewallet;32.98;4.761.904.762;1.65;4.6
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;98.21;3;147.32;3.093.615;02/05/2019;10:41:00;Credit card;294.63;4.761.904.762;147.32;7.8
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;72.84;7;25.49;535.37;2/15/2019;12:44:00;Cash;509.88;4.761.904.762;25.49;8.4
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;58.07;9;261.32;5.487.615;1/19/2019;20:07:00;Ewallet;522.63;4.761.904.762;261.32;4.3
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;80.79;9;363.56;7.634.655;02/01/2019;20:31:00;Credit card;727.11;4.761.904.762;363.56;9.5
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;27.02;3;4.05;85.11;03/02/2019;13:01:00;Credit card;81.06;4.761.904.762;4.05;7.1
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;21.94;5;5.49;115.19;03/05/2019;12:29:00;Ewallet;109.7;4.761.904.762;5.49;5.3
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;51.36;1;2.57;53.93;1/16/2019;15:26:00;Ewallet;51.36;4.761.904.762;2.57;5.2
642-32-2990;A;Yangon;Normal;Female;Food and beverages;10.96;10;5.48;115.08;02/02/2019;20:48:00;Ewallet;109.6;4.761.904.762;5.48;6
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;53.44;2;5.34;112.22;1/20/2019;20:38:00;Ewallet;106.88;4.761.904.762;5.34;4.1
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;99.56;8;39.82;836.3;2/14/2019;17:03:00;Credit card;796.48;4.761.904.762;39.82;5.2
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;57.12;7;19.99;419.83;01/12/2019;12:02:00;Credit card;399.84;4.761.904.762;19.99;6.5
219-22-9386;B;Mandalay;Member;Male;Sports and travel;99.96;9;44.98;944.62;03/09/2019;17:26:00;Credit card;899.64;4.761.904.762;44.98;4.2
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;63.91;8;25.56;536.84;3/13/2019;19:52:00;Credit card;511.28;4.761.904.762;25.56;4.6
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;56.47;8;22.59;474.35;03/09/2019;14:57:00;Ewallet;451.76;4.761.904.762;22.59;7.3
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;93.69;7;327.92;6.886.215;03/10/2019;18:44:00;Credit card;655.83;4.761.904.762;327.92;4.5
870-54-3162;A;Yangon;Normal;Female;Sports and travel;32.25;5;80.63;1.693.125;1/27/2019;13:26:00;Cash;161.25;4.761.904.762;80.63;9
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;31.73;9;142.79;2.998.485;01/08/2019;16:17:00;Credit card;285.57;4.761.904.762;142.79;5.9
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;68.54;8;27.42;575.74;01/08/2019;15:57:00;Ewallet;548.32;4.761.904.762;27.42;8.5
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;90.28;9;40.63;853.15;02/08/2019;11:15:00;Ewallet;812.52;4.761.904.762;40.63;7.2
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;39.62;7;13.87;291.21;1/25/2019;13:18:00;Cash;277.34;4.761.904.762;13.87;7.5
802-70-5316;A;Yangon;Member;Female;Sports and travel;92.13;6;27.64;580.42;03/06/2019;20:34:00;Cash;552.78;4.761.904.762;27.64;8.3
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;34.84;4;6.97;146.33;02/10/2019;18:36:00;Cash;139.36;4.761.904.762;6.97;7.4
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;87.45;6;26.24;550.94;2/17/2019;14:40:00;Credit card;524.7;4.761.904.762;26.24;8.8
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;81.3;6;24.39;512.19;03/08/2019;16:43:00;Ewallet;487.8;4.761.904.762;24.39;5.3
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;90.22;3;13.53;284.19;2/18/2019;19:39:00;Cash;270.66;4.761.904.762;13.53;6.2
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;26.31;5;65.78;1.381.275;1/18/2019;20:59:00;Credit card;131.55;4.761.904.762;65.78;8.8
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;34.42;6;10.33;216.85;2/18/2019;15:39:00;Cash;206.52;4.761.904.762;10.33;9.8
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;51.91;10;25.96;545.06;2/16/2019;12:21:00;Cash;519.1;4.761.904.762;25.96;8.2
575-30-8091;A;Yangon;Normal;Male;Sports and travel;72.5;8;29;609;3/16/2019;19:25:00;Ewallet;580;4.761.904.762;29;9.2
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;89.8;10;44.9;942.9;1/23/2019;13:00:00;Credit card;898;4.761.904.762;44.9;5.4
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;90.5;10;45.25;950.25;1/25/2019;13:48:00;Cash;905;4.761.904.762;45.25;8.1
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;68.6;10;34.3;720.3;02/05/2019;19:57:00;Cash;686;4.761.904.762;34.3;9.1
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;30.41;1;15.21;319.31;2/22/2019;10:36:00;Credit card;30.41;4.761.904.762;15.21;8.4
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle;77.95;6;23.39;491.09;1/21/2019;16:37:00;Ewallet;467.7;4.761.904.762;23.39;8
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;46.26;6;13.88;291.44;03/08/2019;17:11:00;Credit card;277.56;4.761.904.762;13.88;9.5
685-64-1609;A;Yangon;Member;Female;Fashion accessories;30.14;10;15.07;316.47;02/10/2019;12:28:00;Ewallet;301.4;4.761.904.762;15.07;9.2
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;66.14;4;13.23;277.79;3/19/2019;12:46:00;Credit card;264.56;4.761.904.762;13.23;5.6
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;71.86;8;28.74;603.62;03/06/2019;15:07:00;Credit card;574.88;4.761.904.762;28.74;6.2
238-49-0436;A;Yangon;Normal;Male;Health and beauty;32.46;8;12.98;272.66;3/27/2019;13:48:00;Credit card;259.68;4.761.904.762;12.98;4.9
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;91.54;4;18.31;384.47;3/23/2019;19:20:00;Credit card;366.16;4.761.904.762;18.31;4.8
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;34.56;7;12.1;254.02;03/11/2019;16:07:00;Credit card;241.92;4.761.904.762;12.1;7.3
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;83.24;9;37.46;786.62;1/29/2019;11:56:00;Credit card;749.16;4.761.904.762;37.46;7.4
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages;16.48;6;4.94;103.82;02/07/2019;18:23:00;Ewallet;98.88;4.761.904.762;4.94;9.9
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel;80.97;8;32.39;680.15;1/28/2019;13:05:00;Cash;647.76;4.761.904.762;32.39;9.3
782-95-9291;A;Yangon;Member;Male;Food and beverages;92.29;5;230.73;4.845.225;2/20/2019;15:55:00;Credit card;461.45;4.761.904.762;230.73;9
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;72.17;1;36.09;757.79;01/04/2019;19:40:00;Cash;72.17;4.761.904.762;36.09;6.1
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;50.28;5;12.57;263.97;03/07/2019;13:58:00;Ewallet;251.4;4.761.904.762;12.57;9.7
743-04-1105;B;Mandalay;Member;Male;Health and beauty;97.22;9;43.75;918.73;3/30/2019;14:43:00;Ewallet;874.98;4.761.904.762;43.75;6
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;93.39;6;28.02;588.36;3/27/2019;19:18:00;Ewallet;560.34;4.761.904.762;28.02;10
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;43.18;8;17.27;362.71;1/19/2019;19:39:00;Credit card;345.44;4.761.904.762;17.27;8.3
275-28-0149;A;Yangon;Normal;Male;Sports and travel;63.69;1;31.85;668.75;2/25/2019;16:21:00;Cash;63.69;4.761.904.762;31.85;6
101-17-6199;A;Yangon;Normal;Male;Food and beverages;45.79;7;160.27;3.365.565;3/13/2019;19:44:00;Credit card;320.53;4.761.904.762;160.27;7
423-80-0988;C;Naypyitaw;Normal;Male;Sports and travel;76.4;2;7.64;160.44;1/30/2019;19:42:00;Ewallet;152.8;4.761.904.762;7.64;6.5
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;39.9;10;19.95;418.95;2/20/2019;15:24:00;Credit card;399;4.761.904.762;19.95;5.9
505-02-0892;B;Mandalay;Member;Male;Health and beauty;42.57;8;17.03;357.59;2/25/2019;14:12:00;Ewallet;340.56;4.761.904.762;17.03;5.6
234-65-2137;C;Naypyitaw;Normal;Male;Home and lifestyle;95.58;10;47.79;1003.59;1/16/2019;13:32:00;Cash;955.8;4.761.904.762;47.79;4.8
687-47-8271;A;Yangon;Normal;Male;Fashion accessories;98.98;10;49.49;1039.29;02/08/2019;16:20:00;Credit card;989.8;4.761.904.762;49.49;8.7
796-32-9050;A;Yangon;Normal;Male;Food and beverages;51.28;6;15.38;323.06;1/19/2019;16:31:00;Cash;307.68;4.761.904.762;15.38;6.5
